1	duty|task
duty	Dangerous themes such as rebellion and tyrannicide, ancient freedoms versus authoritarian rule, civic duty versus private ambition, could be treated more safely through Roman history, as Shakespeare treated them in "Julius Caesar".
duty	On September 14, Zhou announced to the Politburo that four of the highest-ranking military officials in China were immediately suspended from duty and ordered to submit self-criticisms admitting their associations with Lin.
duty	Mr Smith was held to be under no duty to inform Mr Hughes of his possible mistake about the kind of oats, reaffirming the old idea of "caveat emptor" (buyer beware).
duty	Wade was selected as the flag-bearer for the opening ceremony, a duty she would reprise four years later in Athens.
duty	Public beaches are not patrolled by an organisation, but each comune calls on duty freelance lifeguards during summer or particular events, when public funds can afford the costs.
duty	Abraham Lincoln stated in the Gettysburg address (1863), Americans have a duty to ensure "government of the people, by the people, for the people, shall not perish from the earth."
duty	As the episode begins, Lt. Worf fails to report to his bridge duty station, and Chief Operations Officer Lt Commander Data and First Officer Commander William Riker become concerned.
duty	Revenge was incorporated into the Chetnik manual as a "... sacred duty of the Serbian people against those who had wronged them during the war and occupation".
duty	On 25 May 1871, "Constellation" was recommissioned for midshipmen training cruises; this was a duty she performed for the next 22 years.
duty	While expounding on his duty as a writer, Barton drones: "I gotta tell you, the life of the mind ...
task	The politics of the kingdom were violent, and there were later episodes of pagan rule, while spreading understanding of Christianity through the kingdom was a task that lasted throughout Cuthbert's lifetime.
task	Lu Xun's brilliant strategies, when combined with Sun Quan's recognition of his talent, resulted in the accomplishment of a great task.
task	After being liberated, he left Cuba and headed to Costa Rica, where he dedicated his time to pedagogical tasks, and to his activities as leader of the PRD.
task	The learning environment needs to provide ill-defined activities which have real-world relevance, and which present a single complex task to be completed over a sustained period of time, rather than a series of shorter disconnected examples.
task	A task force was assigned and came back with the proposal that the question should be up to the discretion of the presbyteries.
task	Before the official opening of the Pennine Way the British Army was invited to test the whole route, a task which they accomplished in one day.
task	On the national question, the Officials saw the struggle against religious sectarianism and bigotry as their primary task.
task	William Mandella is a physics student conscripted for an elite task force in the United Nations Exploratory Force being assembled for a war against the Taurans, an alien species discovered when they apparently attacked human colonists' ships.
task	During World War II these were organized operationally into task forces known as combat commands A, B and R (Reserve).
task	Joan is asked by God to perform tasks that often appear to be trivial or contrary, but always end up positively improving a larger situation.
2	task|job
task	The politics of the kingdom were violent, and there were later episodes of pagan rule, while spreading understanding of Christianity through the kingdom was a task that lasted throughout Cuthbert's lifetime.
task	Lu Xun's brilliant strategies, when combined with Sun Quan's recognition of his talent, resulted in the accomplishment of a great task.
task	After being liberated, he left Cuba and headed to Costa Rica, where he dedicated his time to pedagogical tasks, and to his activities as leader of the PRD.
task	The learning environment needs to provide ill-defined activities which have real-world relevance, and which present a single complex task to be completed over a sustained period of time, rather than a series of shorter disconnected examples.
task	A task force was assigned and came back with the proposal that the question should be up to the discretion of the presbyteries.
task	Before the official opening of the Pennine Way the British Army was invited to test the whole route, a task which they accomplished in one day.
task	On the national question, the Officials saw the struggle against religious sectarianism and bigotry as their primary task.
task	William Mandella is a physics student conscripted for an elite task force in the United Nations Exploratory Force being assembled for a war against the Taurans, an alien species discovered when they apparently attacked human colonists' ships.
task	During World War II these were organized operationally into task forces known as combat commands A, B and R (Reserve).
task	Joan is asked by God to perform tasks that often appear to be trivial or contrary, but always end up positively improving a larger situation.
job	Many women take on the largest portion of the domestic obligations of the home, even when they are working full-time jobs.
job	Fry inquires at what his job is, and learns that he will be traveling into space and throughout the universe ... as a delivery boy.
job	Dubbed "The Karenskys", the multi-camera comedy would revolve around a daughter's return to the fold of her large, eccentric, ethnic family after her husband takes a job in her hometown.
job	Down on their luck after a botched smuggling run, Han Solo and Chewbacca resort to accepting a job offer from an anonymous employer.
job	He lost his starting job to Jamaal Jackson before the 2006 season and was subsequently traded to the Cleveland Browns.
job	Fighting job discrimination was a constant battle for African Americans in Chicago, as foremen in various companies restricted the advancement of black workers, which often kept them from earning higher wages.
job	Elisabeth considers leaving Korsbæk for Copenhagen - but through Doctor Hansen's and Ingeborg Skjern's intervention, she's given the job as church organist by Mads Skjern, chairman of the parish council.
job	Sinagra claimed at the Maxi Trial that it was invariably his job to hold the feet of those who died in the Room of Death while Marchese strangled them with a length of rope.
job	"Ten Cents a Dance" is a popular song in which a taxi dancer laments the hardships of her job.
job	After nine months without a job Fach was named on 25 January 2010 as the new head coach of the Kazakhstani vice-champion Lokomotiv Astana.
3	duty|job
duty	Dangerous themes such as rebellion and tyrannicide, ancient freedoms versus authoritarian rule, civic duty versus private ambition, could be treated more safely through Roman history, as Shakespeare treated them in "Julius Caesar".
duty	On September 14, Zhou announced to the Politburo that four of the highest-ranking military officials in China were immediately suspended from duty and ordered to submit self-criticisms admitting their associations with Lin.
duty	Mr Smith was held to be under no duty to inform Mr Hughes of his possible mistake about the kind of oats, reaffirming the old idea of "caveat emptor" (buyer beware).
duty	Wade was selected as the flag-bearer for the opening ceremony, a duty she would reprise four years later in Athens.
duty	Public beaches are not patrolled by an organisation, but each comune calls on duty freelance lifeguards during summer or particular events, when public funds can afford the costs.
